cst_id,address_type,street,postal_code
CUST101908,WORK,470 JP Laurel St.,8000
CUST100057,Work,734 Rizal St.,8000
CUST101441,HOME,208 Main St.,8100
CUST103093,Home,345 Main St.,6000
CUST101533,Work,128 JP Laurel St.,8100
CUST101901,home,854 Mabini St.,
CUST103487,WORK,773 Mabini St.,
CUST100164,Work,601 JP Laurel St.,6000
CUST102546,Home,79 Rizal St.,8000
CUST103258,HOME,119 Quezon St.,8100
CUST103105,Work,821 Quezon St.,8100
CUST102290,Work,608 Mabini St.,8000
CUST103106,Work,24 Quezon St.,8000
CUST100649,HOME,893 JP Laurel St.,8100
CUST103421,HOME,342 Rizal St.,
CUST100776,HOME,653 Main St.,8000
CUST100710,Work,61 JP Laurel St.,
CUST102652,Home,955 Mabini St.,8100
CUST101895,WORK,507 Mabini St.,
CUST103268,HOME,139 Rizal St.,6000
CUST102969,home,298 JP Laurel St.,8000
CUST101329,HOME,438 Quezon St.,8100
CUST100236,home,195 JP Laurel St.,
CUST101735,Work,882 Mabini St.,8100
CUST102007,Home,226 JP Laurel St.,
CUST103032,home,807 Mabini St.,8000
CUST101424,Home,268 Quezon St.,8000
CUST103160,Home,370 Quezon St.,8000
CUST101141,Work,831 Mabini St.,8100
CUST100475,home,49 Mabini St.,6000
CUST100994,Work,857 Rizal St.,
CUST102482,HOME,958 Rizal St.,8100
CUST101582,HOME,683 Quezon St.,8000
CUST102415,home,182 Main St.,
CUST100307,Home,947 Quezon St.,8100
CUST101016,WORK,631 Rizal St.,8100
CUST102348,HOME,108 Rizal St.,8000
CUST103058,Work,547 Quezon St.,8100
CUST102986,Home,319 Rizal St.,6000
CUST100886,Work,250 JP Laurel St.,6000
CUST102491,HOME,630 JP Laurel St.,8000
CUST100414,HOME,7 Mabini St.,6000
CUST101152,home,457 Mabini St.,6000
CUST102666,Home,391 Main St.,8000
CUST100947,Home,33 Quezon St.,
CUST102091,Work,440 Main St.,6000
CUST100012,HOME,347 JP Laurel St.,8100
CUST100445,home,467 JP Laurel St.,8100
CUST103468,Work,162 Main St.,
CUST103246,Work,563 Quezon St.,8100
CUST102323,Work,980 Mabini St.,8000
CUST103194,WORK,200 Mabini St.,8000
CUST101732,Work,307 Main St.,8100
CUST100233,HOME,89 Quezon St.,8100
CUST101858,HOME,642 Main St.,8000
CUST100479,WORK,558 JP Laurel St.,6000
CUST100912,home,817 Mabini St.,8100
CUST100752,home,58 Quezon St.,8100
CUST102145,WORK,516 JP Laurel St.,8000
CUST101634,HOME,553 Quezon St.,6000
CUST100911,HOME,528 Mabini St.,8100
CUST100405,Home,317 Mabini St.,6000
CUST100625,Home,296 Mabini St.,8000
CUST103064,Work,950 Rizal St.,8000
CUST102861,home,463 JP Laurel St.,8000
CUST101658,HOME,151 Rizal St.,8000
CUST102330,HOME,493 Mabini St.,8100
CUST100507,Work,341 Quezon St.,8100
CUST100347,Home,498 Rizal St.,8000
CUST101454,Work,479 JP Laurel St.,8000
CUST101913,WORK,982 Rizal St.,8100
CUST100709,home,41 Main St.,
CUST100250,home,445 Quezon St.,8000
CUST100147,home,52 Mabini St.,6000
CUST101109,Home,399 JP Laurel St.,8100
CUST102675,Work,603 Mabini St.,8000
CUST101234,HOME,586 Main St.,8000
CUST102943,home,475 Rizal St.,8100
CUST101539,Home,181 Rizal St.,8100
CUST100792,WORK,638 Mabini St.,8100
CUST102972,HOME,963 Rizal St.,6000
CUST103289,Home,699 Mabini St.,8000
CUST102016,Work,873 JP Laurel St.,
CUST103219,WORK,707 Mabini St.,8100
CUST101099,home,533 Quezon St.,8000
CUST101220,Home,805 Rizal St.,8000
CUST101462,WORK,872 JP Laurel St.,
CUST101762,HOME,88 Rizal St.,8100
CUST101210,HOME,236 Mabini St.,6000
CUST102927,Work,209 Rizal St.,8100
CUST100226,HOME,189 Main St.,8000
CUST102913,Home,459 Rizal St.,8000
CUST103197,Work,504 Rizal St.,8100
CUST102471,HOME,286 JP Laurel St.,8000
CUST101286,WORK,804 Rizal St.,
CUST101785,Home,162 JP Laurel St.,8100
CUST101559,WORK,680 Mabini St.,6000
CUST100740,Work,698 Rizal St.,8000
CUST100292,HOME,428 Rizal St.,8000
CUST101284,home,720 Main St.,8000
CUST101136,WORK,489 JP Laurel St.,8100
CUST101316,Home,196 Main St.,8000
CUST101750,WORK,820 JP Laurel St.,6000
CUST100607,home,430 Main St.,
CUST100988,WORK,540 Rizal St.,8000
CUST102466,HOME,587 Main St.,8000
CUST100286,Work,804 Quezon St.,8100
CUST101524,WORK,644 Mabini St.,8100
CUST101556,HOME,220 JP Laurel St.,8000
CUST101604,Home,266 Rizal St.,8100
CUST101551,HOME,925 Main St.,8000
CUST101632,home,125 Quezon St.,8000
CUST102161,Work,368 Mabini St.,
CUST101361,home,580 JP Laurel St.,8100
CUST103057,WORK,620 Mabini St.,
CUST100525,home,549 Quezon St.,6000
CUST101852,Work,379 Main St.,8000
CUST101555,WORK,486 JP Laurel St.,
CUST100724,WORK,112 Main St.,
CUST101010,HOME,994 JP Laurel St.,8000
CUST102866,HOME,117 Rizal St.,
CUST103167,Work,690 Quezon St.,8100
CUST101954,home,733 JP Laurel St.,8100
CUST103448,home,506 JP Laurel St.,6000
CUST103154,Work,595 Mabini St.,6000
CUST102906,Work,636 Mabini St.,8100
CUST100171,WORK,606 JP Laurel St.,6000
CUST101270,HOME,957 Mabini St.,8100
CUST103338,Work,6 Quezon St.,8100
CUST101179,HOME,252 Rizal St.,
CUST100528,WORK,880 Mabini St.,8000
CUST100014,Home,789 Rizal St.,8000
CUST102345,Work,606 Quezon St.,8100
CUST103181,Home,892 Main St.,8100
CUST102677,WORK,561 Mabini St.,8000
CUST100532,WORK,463 JP Laurel St.,8000
CUST101358,WORK,136 Mabini St.,6000
CUST102498,Work,388 JP Laurel St.,8000
CUST101996,home,216 Rizal St.,8000
CUST101639,HOME,91 Mabini St.,
CUST100096,WORK,11 Mabini St.,
CUST101044,home,224 Mabini St.,8100
CUST102847,WORK,604 Quezon St.,
CUST100069,Work,62 Main St.,8000
CUST102827,Work,318 Mabini St.,8100
CUST100162,HOME,882 Main St.,8100
CUST100593,home,68 Quezon St.,8000
CUST100700,home,977 JP Laurel St.,8000
CUST103016,Work,565 Main St.,8000
CUST101365,Work,576 Mabini St.,8000
CUST101106,Home,447 Mabini St.,8100
CUST100063,HOME,561 Quezon St.,8100
CUST103129,Home,192 Main St.,
CUST100550,home,52 Mabini St.,8000
CUST101525,Work,507 Quezon St.,8100
CUST102404,HOME,433 Mabini St.,8000
CUST102678,Work,975 Quezon St.,
CUST101718,Home,690 Rizal St.,6000
CUST101994,WORK,152 JP Laurel St.,6000
CUST102293,Work,553 Main St.,8100
CUST103107,Work,482 Main St.,8100
CUST102272,Work,980 Mabini St.,
CUST101346,HOME,784 Mabini St.,
CUST101262,WORK,20 Quezon St.,8100
CUST101196,Work,652 Rizal St.,8000
CUST101245,Home,716 Rizal St.,8100
CUST100466,WORK,691 Quezon St.,6000
CUST103143,Work,138 Rizal St.,
CUST103062,HOME,163 Quezon St.,
CUST100704,WORK,236 Quezon St.,
CUST103085,HOME,417 Main St.,8000
CUST102683,Work,881 Quezon St.,8100
CUST102015,Work,262 JP Laurel St.,
CUST103161,WORK,708 JP Laurel St.,8000
CUST102748,home,178 Main St.,8100
CUST103178,WORK,62 Mabini St.,
CUST103115,HOME,786 JP Laurel St.,8000
CUST101034,WORK,960 Mabini St.,8000
CUST101914,HOME,630 Rizal St.,
CUST102886,WORK,2 Main St.,8100
CUST103077,Work,56 Quezon St.,8100
CUST100035,Work,503 Quezon St.,8100
CUST101091,Home,148 JP Laurel St.,8100
CUST102818,home,719 JP Laurel St.,6000
CUST102618,Home,648 Rizal St.,6000
CUST102421,WORK,625 Quezon St.,8100
CUST102172,HOME,181 Main St.,8100
CUST100900,WORK,649 Main St.,8000
CUST102846,WORK,101 Main St.,8100
CUST101272,Home,621 JP Laurel St.,
CUST101916,Work,497 Main St.,6000
CUST102787,HOME,512 Mabini St.,8000
CUST101312,Home,593 Mabini St.,8100
