cst_id,cst_firstname,cst_lastname,cst_gender,cst_city,cst_region,cst_email,cst_create_date
CUST100001,Maria,Santos,F,Digos,Metro Manila,customer0@example.com,22/11/2020
CUST100002,James,Aquino,F,Manila,Western Visayas,customer1@example.com,20/10/2021
CUST100003,Daniel,Dela Cruz,M,Davao City,Central Visayas,customer2@example.com,26/06/2023
CUST100004,Sofia,Garcia,Male,Iloilo,Central Visayas,customer3@example.com,04/04/2020
CUST100005,Sofia,Santos,Female,Cagayan de Oro,Western Visayas,customer4@example.com,27/06/2024
CUST100006,Luis,Gonzales,F,Cagayan de Oro,Western Visayas,customer5@example.com,03/11/2020
CUST100007,Maria,Villanueva,F,Tagum,Northern Mindanao,customer6@example.com,17/11/2023
CUST100008,Daniel,Bautista,male,Cagayan de Oro,Western Visayas,customer7@example.com,14/01/2023
CUST100009,John,Santos,Male,Davao City,Northern Mindanao,customer8@example.com,05/03/2024
CUST100010,Maria,Mendoza,M,Quezon City,Davao Region,customer9@example.com,27/10/2023
CUST100011,Liza,Rivera,female,Manila,SOCCSKSARGEN,customer10@example.com,17/07/2022
CUST100012,Marco,Ramos,Female,General Santos,Northern Mindanao,customer11@example.com,22/09/2023
CUST100013,Grace,Cruz,,Quezon City,Northern Mindanao,customer12@example.com,15/09/2021
CUST100014,James,Cruz,,Quezon City,Northern Mindanao,customer13@example.com,16/11/2022
CUST100015, Grace ,Dela Cruz,female,Tagum,Central Visayas,customer14@example.com,05/07/2024
CUST100016,James,Rivera,Female,Davao City,Davao Region,customer15@example.com,01/06/2020
CUST100017,Liza,Cruz,Male,Panabo,Davao Region,customer16@example.com,02/10/2021
CUST100018,Ana,Gonzales,M,Davao City,Central Visayas,customer17@example.com,01/02/2020
CUST100019,Patricia,Aquino,F,Cagayan de Oro,Northern Mindanao,customer18@example.com,19/08/2022
CUST100020,Miguel,Gonzales,Female,Cagayan de Oro,Northern Mindanao,customer19@example.com,08/11/2023
CUST100021,Liza,Villanueva,F,Cagayan de Oro,SOCCSKSARGEN,,10/03/2020
CUST100022,Paolo,Mendoza,male,Davao City,Metro Manila,customer21@example.com,15/09/2022
CUST100023,Mark,Villanueva,M,Iloilo,Davao Region,customer22@example.com,17/01/2022
CUST100024,Ella,Cruz,F,Iloilo,Davao Region,customer23@example.com,09/11/2023
CUST100025,James,Dela Cruz,F,Cagayan de Oro,Western Visayas,customer24@example.com,31/01/2021
CUST100026,Nicole,Garcia,F,Davao City,Northern Mindanao,customer25@example.com,20/10/2020
CUST100027,Sofia,Cruz,M,Digos,Davao Region,customer26@example.com,19/06/2020
CUST100028,Patricia,Reyes,M,Manila,Metro Manila,customer27@example.com,03/01/2022
CUST100029,Liza,Cruz,male,Manila,SOCCSKSARGEN,customer28@example.com,27/05/2022
CUST100030,Sofia,Reyes,F,Panabo,Central Visayas,customer29@example.com,12/07/2024
CUST100031,Miguel,Torres,M,Quezon City,Western Visayas,customer30@example.com,18/04/2022
